Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2018-03-27,76.529999,78.440002,76.300003,77.790001,70.983299,11288200,0.0
2018-03-28,77.949997,79.139999,77.949997,78.839996,71.941429,12857800,0.0
2018-03-29,79.43,80.489998,79.18,79.279999,72.34291800000001,10036400,0.0
2018-04-02,79.260002,79.370003,77.059998,77.400002,70.627434,12017200,0.0
2018-04-03,77.559998,78.800003,77.18,78.459999,71.594688,11933100,0.0
2018-04-04,77.82,79.519997,77.589996,79.050003,72.133064,9030800,-0.4019
2018-04-05,79.089996,79.32,78.510002,78.800003,71.904922,7864700,0.0
2018-04-06,78.370003,79.360001,77.900002,78.43,71.567299,8300800,0.0
2018-04-09,78.800003,78.849998,77.57,78.160004,71.32093,9031200,0.0
2018-04-10,78.709999,78.839996,77.940002,78.370003,71.512558,6779000,0.0
2018-04-11,78.190002,78.690002,78.040001,78.269997,71.421318,7143500,0.0
2018-04-12,78.639999,78.699997,77.790001,77.790001,70.983299,8282300,0.0
2018-04-13,78.059998,78.440002,77.720001,78.370003,71.512558,6198500,0.0
2018-04-16,78.559998,78.860001,78.040001,78.610001,71.73155200000001,5962200,0.0
2018-04-17,78.93,78.940002,78.099998,78.43,71.567299,6492400,0.0
2018-04-18,78.58000200000001,78.68,78.019997,78.199997,71.357422,7349400,0.0
2018-04-19,75.389999,75.720001,74.199997,74.949997,69.024689,16955600,0.0
2018-04-20,74.040001,74.91999799999999,73.739998,73.800003,67.96560699999999,14085000,0.0
2018-04-23,73.589996,73.980003,72.760002,73.0,67.228836,13653400,0.4404
2018-04-24,73.059998,73.33000200000001,72.150002,72.5,66.76837900000001,16551700,0.0
2018-04-25,72.410004,72.75,71.949997,72.300003,66.584183,14208800,0.0
2018-04-26,72.57,73.010002,72.370003,72.75,66.99861899999999,11204300,0.0
2018-04-27,72.529999,73.08000200000001,72.209999,72.809998,67.053848,8144800,0.0
2018-04-30,72.910004,72.91999799999999,72.160004,72.339996,66.62101700000001,13076500,0.0
2018-05-01,72.050003,72.33000200000001,71.660004,71.959999,66.271057,8103800,0.0
2018-05-02,71.940002,72.010002,70.730003,70.940002,65.331703,10830900,0.0
2018-05-03,70.809998,71.720001,70.739998,71.360001,65.718498,9386500,0.0
2018-05-04,71.379997,72.620003,71.339996,72.43,66.703903,8107400,0.0
2018-05-07,72.66999799999999,73.220001,71.889999,71.980003,66.28948199999999,6633600,0.0
2018-05-08,72.050003,72.120003,71.110001,71.440002,65.79216,8084100,0.0
2018-05-09,71.769997,72.550003,71.739998,72.370003,66.648659,7528400,0.0
2018-05-10,72.940002,73.339996,72.690002,73.150002,67.366989,7618500,0.0
2018-05-11,73.629997,74.099998,73.050003,73.370003,67.569588,7586200,0.0
2018-05-14,73.779999,73.779999,73.089996,73.279999,67.48671,8646900,0.0
2018-05-15,73.309998,73.410004,72.599998,72.949997,67.182793,11502800,0.5267
2018-05-16,72.980003,73.93,72.959999,73.529999,67.716934,8325000,0.25
2018-05-17,73.519997,74.0,73.400002,73.959999,68.112938,8053600,0.0
2018-05-18,73.980003,74.07,73.110001,73.449997,67.643265,7042700,-0.128
2018-05-21,73.75,74.25,73.41999799999999,74.059998,68.205048,6428400,0.0
2018-05-22,74.459999,74.940002,73.83000200000001,74.029999,68.17742199999999,7744200,0.0
2018-05-23,74.019997,74.300003,73.720001,74.18,68.315559,6592500,0.0
2018-05-24,74.08000200000001,74.349998,73.589996,73.769997,67.937973,6508900,0.0
2018-05-25,73.900002,74.620003,73.75,74.309998,68.435272,7546500,0.0
2018-05-29,74.059998,74.699997,73.769997,74.050003,68.195839,8905600,0.0
2018-05-30,74.33000200000001,75.019997,74.050003,74.889999,68.969429,8128600,0.0
2018-05-31,74.66999799999999,74.690002,72.800003,73.16999799999999,67.385384,15526000,0.0
2018-06-01,73.33000200000001,73.739998,72.860001,73.449997,67.643265,7209300,0.0
2018-06-04,73.540001,74.620003,73.449997,74.18,68.315559,8743800,0.0
2018-06-05,74.279999,74.379997,73.599998,73.970001,68.122162,6910100,0.0
2018-06-06,74.07,74.41999799999999,73.720001,74.349998,68.472115,7002900,0.0
2018-06-07,74.18,76.389999,74.099998,75.760002,69.770653,13476100,0.0
2018-06-08,75.849998,77.209999,75.739998,77.18,71.078384,13625300,0.0
2018-06-11,76.970001,77.690002,76.879997,77.529999,71.40070300000001,9049400,0.0
2018-06-12,77.82,77.889999,77.110001,77.239998,71.133629,8786000,0.0
2018-06-13,77.400002,77.400002,76.199997,76.470001,70.42450699999999,8022400,0.0
2018-06-14,76.559998,76.559998,75.699997,75.989998,69.982445,8895200,0.0
2018-06-15,76.160004,77.510002,75.91999799999999,77.379997,71.262566,14943500,0.0
2018-06-18,76.860001,77.099998,75.389999,75.839996,69.84431500000001,7384900,0.0
2018-06-19,75.589996,76.68,75.57,76.33000200000001,70.295586,8514000,0.0
2018-06-20,76.349998,76.349998,75.540001,75.849998,69.853531,6603500,0.0
2018-06-21,75.529999,77.050003,75.529999,76.440002,70.396889,8691200,0.0
2018-06-22,76.790001,77.629997,76.769997,77.43,71.308624,11446400,0.0
2018-06-25,77.279999,77.940002,77.18,77.790001,71.640167,11300500,0.0
2018-06-26,77.790001,78.309998,77.360001,78.0,71.833549,9558500,0.0
2018-06-27,78.110001,78.709999,77.559998,77.690002,71.548058,7873300,0.0
2018-06-28,77.860001,78.32,77.660004,78.050003,71.87960799999999,5714400,0.0
2018-06-29,77.93,78.540001,77.290001,78.059998,71.888802,7679900,0.0
2018-07-02,77.5,78.309998,77.41999799999999,78.129997,71.953285,6092800,0.0
2018-07-03,78.540001,78.760002,77.779999,77.900002,71.741478,5897200,0.0
2018-07-05,78.139999,79.25,78.120003,79.209999,72.947884,7956100,0.4404
2018-07-06,79.379997,79.620003,78.900002,79.309998,73.040001,7244000,0.0
2018-07-09,78.459999,78.83000200000001,77.779999,77.860001,71.70461999999999,9095900,0.0
2018-07-10,78.07,79.940002,77.989998,79.82,73.509674,12773500,0.0
2018-07-11,79.629997,79.839996,79.029999,79.160004,72.901871,7851600,0.0
2018-07-12,79.339996,79.519997,78.57,78.889999,72.653198,8556800,0.0
2018-07-13,79.08000200000001,79.470001,78.900002,79.309998,73.040001,6021300,0.0
2018-07-16,79.209999,79.629997,78.83000200000001,79.529999,73.242599,6931200,0.0
2018-07-17,79.660004,80.5,79.550003,80.029999,73.70307199999999,8983400,0.0
2018-07-18,79.720001,80.209999,79.33000200000001,79.720001,73.41759499999999,9105100,0.0
2018-07-19,78.41999799999999,79.190002,77.889999,78.730003,73.163887,8010600,0.0
2018-07-20,78.32,79.059998,78.32,78.68,73.117416,8234700,0.0
2018-07-23,78.489998,78.940002,78.239998,78.510002,72.959427,5881600,0.0
2018-07-24,77.540001,79.010002,77.540001,78.989998,73.405502,8297100,0.0
2018-07-25,78.720001,79.599998,78.720001,79.470001,73.851563,6208400,0.0
2018-07-26,79.559998,80.769997,79.470001,80.089996,74.427734,9771100,0.0
2018-07-27,79.66999799999999,80.83000200000001,79.459999,80.58000200000001,74.883087,7492900,0.0
2018-07-30,80.07,80.5,79.839996,80.199997,74.529961,7090700,0.0
2018-07-31,80.389999,80.980003,79.43,80.879997,75.161873,9878200,0.0
2018-08-01,80.41999799999999,80.82,80.110001,80.650002,74.948135,7556700,0.0
2018-08-02,80.800003,82.220001,80.589996,82.0,76.202698,9261700,0.0
2018-08-03,82.139999,83.099998,81.91999799999999,82.33000200000001,76.50936899999999,7102800,0.0
2018-08-06,82.199997,82.93,82.150002,82.519997,76.685921,5669200,0.0
2018-08-07,82.410004,82.68,81.730003,82.639999,76.797455,6418000,0.0
2018-08-08,82.099998,82.800003,82.099998,82.349998,76.527939,4891300,0.0
2018-08-09,82.440002,82.440002,81.300003,81.400002,75.645111,5167400,0.0
2018-08-10,81.300003,81.760002,81.0,81.43,75.672997,5566000,0.0
2018-08-13,81.699997,82.08000200000001,81.150002,81.519997,75.756622,5068100,0.0
2018-08-14,81.389999,81.720001,81.230003,81.309998,75.561485,6226900,0.0
2018-08-15,81.300003,82.370003,80.809998,82.300003,76.481491,8753500,0.0
2018-08-16,82.459999,84.0,82.309998,83.690002,77.773216,12368000,0.0
2018-08-17,83.730003,84.199997,83.599998,83.690002,77.773216,8409300,0.0
2018-08-20,83.889999,83.949997,83.309998,83.639999,77.726761,6795800,-0.5423
2018-08-21,83.57,84.0,83.089996,83.900002,77.968369,8534500,0.0
2018-08-22,83.809998,83.849998,83.059998,83.389999,77.494423,5132600,0.0
2018-08-23,83.010002,83.599998,82.839996,83.239998,77.355019,4323200,0.0
2018-08-24,83.220001,83.550003,83.029999,83.360001,77.466553,5356000,0.0
2018-08-27,83.5,83.82,83.019997,83.440002,77.540886,3941500,0.25
2018-08-28,83.720001,83.860001,83.32,83.480003,77.578064,5405200,0.0
2018-08-29,83.510002,83.760002,83.290001,83.489998,77.587349,4520400,0.0
2018-08-30,83.389999,83.739998,83.190002,83.410004,77.51301600000001,4549700,0.0
2018-08-31,83.349998,83.529999,82.389999,82.949997,77.085533,6674900,0.0
2018-09-04,82.480003,82.959999,82.07,82.699997,76.85320300000001,5800700,0.0
2018-09-05,82.110001,83.470001,82.110001,83.290001,77.401489,7651900,0.0
2018-09-06,82.910004,83.309998,82.489998,82.650002,76.80675500000001,7541100,0.0
2018-09-07,82.099998,82.199997,81.25,81.910004,76.119064,11110900,-0.2553
2018-09-10,82.58000200000001,83.099998,82.339996,82.379997,76.555832,6783000,0.0
2018-09-11,82.129997,82.41999799999999,81.629997,82.010002,76.21199,5210300,0.0
2018-09-12,81.900002,83.18,81.699997,83.110001,77.23423000000001,5925200,0.0
2018-09-13,83.269997,83.489998,82.650002,83.449997,77.550179,5328400,0.3612
2018-09-14,83.470001,83.66999799999999,82.970001,83.610001,77.698868,5004100,0.0
2018-09-17,83.5,84.269997,83.339996,84.25,78.293625,7098800,0.0
2018-09-18,84.290001,84.290001,83.58000200000001,84.0,78.061302,6022800,0.0
2018-09-19,83.91999799999999,84.290001,83.769997,84.0,78.061302,6157600,0.0
2018-09-20,84.290001,85.639999,84.230003,85.360001,79.32515,10053000,0.0
2018-09-21,85.809998,86.279999,85.519997,85.82,79.752625,17402500,0.0
2018-09-24,85.629997,85.709999,84.230003,84.269997,78.31219499999999,6389400,0.0
2018-09-25,84.279999,84.410004,83.08000200000001,83.120003,77.243515,5657200,0.0
2018-09-26,83.25,83.989998,83.029999,83.260002,77.37361899999999,6581000,0.0
2018-09-27,83.040001,83.629997,82.809998,82.860001,77.001892,6277600,0.0
2018-09-28,83.029999,83.290001,82.790001,83.230003,77.345734,5125800,0.0
2018-10-01,83.309998,83.720001,83.16999799999999,83.66999799999999,77.754623,4899900,0.0
2018-10-02,83.480003,84.440002,83.370003,84.360001,78.39585100000001,7390900,0.0
2018-10-03,84.440002,84.519997,82.849998,83.029999,77.159874,7958700,0.0
2018-10-04,82.5,82.5,81.099998,81.91999799999999,76.128357,7029900,0.0
2018-10-05,81.980003,82.449997,81.980003,82.150002,76.34209399999999,5454600,0.0
